acceptance,encoding,word1,0000000,furious
1,1000000,durious
1,0220000,fruious
1,0000300,furiaus
1,0002200,furoius
1,0333100,fewrius1,0010000,futious1,0000100,furipus
1,0000001,furioud
1,3000000,vurious
1,0003300,fureeus
0,3000000,curious
0,1000000,gurious
0,0000330,furiyss
0,0003001,furkoua
0,0000220,furiuos
0,0222200,fruoius
0,3000000,rurious
0,0010001,fueioua
0,0022300,fuireus
0,0000330,furiuss
1,0000000,friends
1,0000022,friensd
1,3330000,phrends1,0022000,freinds
1,0100000,ftiends1,0001000,friwnds
1,0022003,freindz
1,0000220,friedns
1,0000010,frienss
1,0010000,froends
1,0133310,ftendss
0,1000000,driends
0,3333333,mittron
0,0003000,friinds
0,0030330,freeens
0,1000000,griends
0,0022220,freidns
0,3333000,phrands
0,0000010,frienfs
0,3333330,enemies
0,0220000,firends1,0000000,airways1,0000022,airwasy1,0300000,aerways1,0000003,airwayz
1,0220000,ariways
1,0010001,aiewayd
1,0000001,airwaya
1,0100000,aorways
1,0000011,airwatd
1,0002200,airawys
1,1000000,sirways
0,1002200,sirawys
0,0011000,aitqays
0,0220022,ariwasy
0,0003330,airbuss
0,0010131,aitwsaa
0,0130000,aofways
0,0001111,airqstd
0,0003333,airxxxx
0,3300030,xxrwaxs
0,0033000,aiopays
1,0000000,matters
1,0000003,matterx
1,0000313,mattter
1,0003100,materrs
1,1000000,natters
1,0011000,marrers
1,0100010,msttets
1,3000030,xattexs
1,0000003,matterz
1,0002200,matetrs
1,0000022,mattesr
0,3000000,katters
0,3030000,waiters
0,3300003,xxtterx
0,0030000,maxters
0,2200033,amttest
0,0003110,matarts
0,3330000,xxxters
0,0033000,maxxers
0,0000010,mattees
0,0003330,matchis1,0000000,decrypt1,0010000,devrypt1,2200000,edcrypt1,0010000,dexrypt1,0000331,decrpty1,0000100,decrtpt1,0000300,decript1,0300000,dicrypt1,0030000,dekrypt1,0001100,deceupt1,0000300,decrept0,3300000,encrypt0,3300000,encrypt0,1000000,fecrypt0,0022220,dercpyt0,3300022,encrytp0,0000003,decrypp0,3000220,tecrpyt0,0010300,dexrppt0,0000300,decrqpt0,3310000,xxxrypt
