acceptance,encoding,word
1,000,bat
1,010,bst
1,100,vat
1,022,bta
1,001,bay
1,003,bad
1,001,bar
0,100,nat
0,300,cat
0,003,bal
0,300,hat
0,330,lit
0,030,bqt
1,000,pen
1,030,pin
1,100,oen
1,001,pem
1,330,ipn
1,031,pib
1,010,pwn
0,110,own
0,010,prn
0,003,pek
0,022,pne
0,030,psn
0,003,pel
1,000,key
1,100,ley
1,010,kwy
1,030,kiy
1,100,jey
1,001,keu
1,003,kee
0,333,cii
0,300,gey
0,303,pee
0,333,pin
0,333,ans
0,030,kuy
1,000,try
1,003,tri
1,010,tey
1,100,yry
1,022,tyr
1,100,rry
1,001,tru
0,300,dry
0,300,fry
0,220,rty
0,033,tyw
0,221,rtu
0,033,tae
1,000,sip
1,010,sup
1,100,dip
1,100,aip
1,022,spi
1,300,cip
1,030,sep
0,300,tip
0,300,rip
0,220,isp
0,003,sin
0,010,sop0,303,pin
