acceptance,encoding,word
1,000000,prompt
1,002200,prmopt
1,030300,pmorpt
1,133300,opmrpt
1,010001,peompy
1,010001,ptompr
1,030110,pfonot
1,101100,orinpt
1,010000,peompt
1,000103,pronpg
1,011100,ptpnpt
0,033110,pfknot
0,133010,odlmot
0,333303,lfkjpg
0,033303,pglkph
0,311310,leijot
0,312233,wemowf
0,333333,ghjowe
0,033333,pfkdjj
0,033331,pweowr
0,033333,pkjdgh
1,000000,broken
1,000000,broken
1,000001,brokem
1,000010,brokrn
1,000010,brokwn
1,000100,brolen
1,000100,brojen
1,000220,broekn
1,000022,brokne
1,100001,vrokem
1,022022,borkne
0,031133,bfpldk
0,033333,bdlisj
0,330330,hgoisn
0,133030,vdlkdn
0,330013,ewokro
0,333333,fisdfk
0,333333,siemfl
0,333333,sdfmvd
0,333333,tiwepf
0,311333,repald
1,000000,editor
1,000000,editor
1,022000,eidtor
1,000022,editro
1,010010,efitpr
1,100000,rditor
1,002200,edtior
1,003310,edtoir
1,000101,ediyoe
1,122022,widtro
1,000101,edirot
0,033301,eckfot
0,013010,efktpr
0,013310,eflgpr
0,333333,orekfm
0,333333,owefml
0,333333,fcmskl
0,033333,epwqdl
0,333333,pelpfk
0,333333,dofmmo
0,001133,edortk
1,000000,answer
1,000000,answer
1,022022,asnwre
1,000022,answre
1,000311,ansrwe
1,010001,amswet
1,101122,sndqre
1,222222,nawsre
1,011001,amdwet
1,331322,nwasre
1,030122,ajsqre
0,011133,amdqtw
0,001030,andwtr
0,313333,qmesfd
0,333333,pwpdla
0,333333,nfijkl
0,331333,bcdlsw
0,001331,andkse
0,330311,tisdwe
0,333333,oekrkf
0,333033,oskwpq
1,000000,aspire
1,000000,aspire
1,022022,apsier
1,010001,adpirw
1,000220,asprie
1,001111,asoutw
1,100001,sspirr
1,003000,aslire
1,220220,saprie
1,001011,asoitw
1,000011,aspitr
0,311133,qdoufd
0,133333,slkfsa
0,303333,dslkuf
0,333333,oemfwo
0,333333,rifgjs
0,033333,axljgf
0,133333,sodmnk
0,333333,dofksl
0,333313,oefkeo
0,333333,zxljgd
